q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.02,0.06,0.0,3.7091,4.8813,"q=(0.0, 0.02, 0.06, 0.0)"
0.0,0.02,0.06,0.01,3.6866,4.8944,"q=(0.0, 0.02, 0.06, 0.01)"
0.0,0.02,0.06,0.02,3.6931,4.9124,"q=(0.0, 0.02, 0.06, 0.02)"
0.0,0.02,0.06,0.03,3.6653,5.0235,"q=(0.0, 0.02, 0.06, 0.03)"
0.0,0.02,0.06,0.04,3.6177,5.0088,"q=(0.0, 0.02, 0.06, 0.04)"
0.0,0.02,0.06,0.05,3.6134,5.1367,"q=(0.0, 0.02, 0.06, 0.05)"
0.0,0.02,0.06,0.06,3.3854,5.2011,"q=(0.0, 0.02, 0.06, 0.06)"
0.0,0.02,0.06,0.07,3.4366,5.258,"q=(0.0, 0.02, 0.06, 0.07)"
0.0,0.02,0.06,0.08,3.3983,5.3732,"q=(0.0, 0.02, 0.06, 0.08)"
0.0,0.02,0.07,0.0,3.7305,4.9949,"q=(0.0, 0.02, 0.07, 0.0)"
0.0,0.02,0.07,0.01,3.7032,4.9566,"q=(0.0, 0.02, 0.07, 0.01)"
0.0,0.02,0.07,0.02,3.6671,5.0265,"q=(0.0, 0.02, 0.07, 0.02)"
0.0,0.02,0.07,0.03,3.5426,5.1279,"q=(0.0, 0.02, 0.07, 0.03)"
0.0,0.02,0.07,0.04,3.5462,5.1499,"q=(0.0, 0.02, 0.07, 0.04)"
0.0,0.02,0.07,0.05,3.4079,5.2146,"q=(0.0, 0.02, 0.07, 0.05)"
0.0,0.02,0.07,0.06,3.463,5.1322,"q=(0.0, 0.02, 0.07, 0.06)"
0.0,0.02,0.07,0.07,3.4018,5.3848,"q=(0.0, 0.02, 0.07, 0.07)"
0.0,0.02,0.07,0.08,3.3727,5.3743,"q=(0.0, 0.02, 0.07, 0.08)"
0.0,0.02,0.08,0.0,3.6715,5.0143,"q=(0.0, 0.02, 0.08, 0.0)"
0.0,0.02,0.08,0.01,3.634,4.9978,"q=(0.0, 0.02, 0.08, 0.01)"
0.0,0.02,0.08,0.02,3.514,5.1398,"q=(0.0, 0.02, 0.08, 0.02)"
0.0,0.02,0.08,0.03,3.4805,5.2415,"q=(0.0, 0.02, 0.08, 0.03)"
0.0,0.02,0.08,0.04,3.4973,5.1429,"q=(0.0, 0.02, 0.08, 0.04)"
0.0,0.02,0.08,0.05,3.3657,5.2322,"q=(0.0, 0.02, 0.08, 0.05)"
