q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.02,0.0,0.06,3.8858,4.7937,"q=(0.0, 0.02, 0.0, 0.06)"
0.0,0.02,0.0,0.07,3.8352,4.8503,"q=(0.0, 0.02, 0.0, 0.07)"
0.0,0.02,0.0,0.08,3.7852,4.9072,"q=(0.0, 0.02, 0.0, 0.08)"
0.0,0.02,0.01,0.0,4.1396,4.5214,"q=(0.0, 0.02, 0.01, 0.0)"
0.0,0.02,0.01,0.01,4.085,4.5775,"q=(0.0, 0.02, 0.01, 0.01)"
0.0,0.02,0.01,0.02,4.0312,4.6336,"q=(0.0, 0.02, 0.01, 0.02)"
0.0,0.02,0.01,0.03,3.978,4.6899,"q=(0.0, 0.02, 0.01, 0.03)"
0.0,0.02,0.01,0.04,3.9257,4.7465,"q=(0.0, 0.02, 0.01, 0.04)"
0.0,0.02,0.01,0.05,3.8742,4.8034,"q=(0.0, 0.02, 0.01, 0.05)"
0.0,0.02,0.01,0.06,3.8234,4.8605,"q=(0.0, 0.02, 0.01, 0.06)"
0.0,0.02,0.01,0.07,3.7733,4.9177,"q=(0.0, 0.02, 0.01, 0.07)"
0.0,0.02,0.01,0.08,3.7238,4.975,"q=(0.0, 0.02, 0.01, 0.08)"
0.0,0.02,0.02,0.0,4.0747,4.5852,"q=(0.0, 0.02, 0.02, 0.0)"
0.0,0.02,0.02,0.01,4.0206,4.6417,"q=(0.0, 0.02, 0.02, 0.01)"
0.0,0.02,0.02,0.02,3.9673,4.6984,"q=(0.0, 0.02, 0.02, 0.02)"
0.0,0.02,0.02,0.03,3.9149,4.7554,"q=(0.0, 0.02, 0.02, 0.03)"
0.0,0.02,0.02,0.04,3.8632,4.8126,"q=(0.0, 0.02, 0.02, 0.04)"
0.0,0.02,0.02,0.05,3.8122,4.87,"q=(0.0, 0.02, 0.02, 0.05)"
0.0,0.02,0.02,0.06,3.7619,4.9276,"q=(0.0, 0.02, 0.02, 0.06)"
0.0,0.02,0.02,0.07,3.7122,4.9853,"q=(0.0, 0.02, 0.02, 0.07)"
0.0,0.02,0.02,0.08,3.6631,5.043,"q=(0.0, 0.02, 0.02, 0.08)"
0.0,0.02,0.03,0.0,4.0107,4.6492,"q=(0.0, 0.02, 0.03, 0.0)"
0.0,0.02,0.03,0.01,3.9572,4.7062,"q=(0.0, 0.02, 0.03, 0.01)"
0.0,0.02,0.03,0.02,3.9046,4.7636,"q=(0.0, 0.02, 0.03, 0.02)"
0.0,0.02,0.03,0.03,3.8527,4.8212,"q=(0.0, 0.02, 0.03, 0.03)"
0.0,0.02,0.03,0.04,3.8015,4.879,"q=(0.0, 0.02, 0.03, 0.04)"
0.0,0.02,0.03,0.05,3.7511,4.9369,"q=(0.0, 0.02, 0.03, 0.05)"
0.0,0.02,0.03,0.06,3.7012,4.9949,"q=(0.0, 0.02, 0.03, 0.06)"
0.0,0.02,0.03,0.07,3.6519,5.053,"q=(0.0, 0.02, 0.03, 0.07)"
0.0,0.02,0.03,0.08,3.6032,5.1111,"q=(0.0, 0.02, 0.03, 0.08)"
0.0,0.02,0.04,0.0,3.9477,4.7135,"q=(0.0, 0.02, 0.04, 0.0)"
0.0,0.02,0.04,0.01,3.8949,4.7713,"q=(0.0, 0.02, 0.04, 0.01)"
0.0,0.02,0.04,0.02,3.8428,4.8293,"q=(0.0, 0.02, 0.04, 0.02)"
0.0,0.02,0.04,0.03,3.7915,4.8873,"q=(0.0, 0.02, 0.04, 0.03)"
0.0,0.02,0.04,0.04,3.7408,4.9456,"q=(0.0, 0.02, 0.04, 0.04)"
0.0,0.02,0.04,0.05,3.6908,5.004,"q=(0.0, 0.02, 0.04, 0.05)"
0.0,0.02,0.04,0.06,3.6413,5.0624,"q=(0.0, 0.02, 0.04, 0.06)"
0.0,0.02,0.04,0.07,3.5924,5.1208,"q=(0.0, 0.02, 0.04, 0.07)"
0.0,0.02,0.04,0.08,3.5442,5.1794,"q=(0.0, 0.02, 0.04, 0.08)"
0.0,0.02,0.05,0.0,3.8858,4.7784,"q=(0.0, 0.02, 0.05, 0.0)"
0.0,0.02,0.05,0.01,3.8336,4.8367,"q=(0.0, 0.02, 0.05, 0.01)"
0.0,0.02,0.05,0.02,3.782,4.8951,"q=(0.0, 0.02, 0.05, 0.02)"
0.0,0.02,0.05,0.03,3.7311,4.9537,"q=(0.0, 0.02, 0.05, 0.03)"
0.0,0.02,0.05,0.04,3.6809,5.0124,"q=(0.0, 0.02, 0.05, 0.04)"
0.0,0.02,0.05,0.05,3.6312,5.0712,"q=(0.0, 0.02, 0.05, 0.05)"
0.0,0.02,0.05,0.06,3.5822,5.13,"q=(0.0, 0.02, 0.05, 0.06)"
0.0,0.02,0.05,0.07,3.5338,5.1889,"q=(0.0, 0.02, 0.05, 0.07)"
0.0,0.02,0.05,0.08,3.4861,5.248,"q=(0.0, 0.02, 0.05, 0.08)"
0.0,0.02,0.06,0.0,3.8248,4.8435,"q=(0.0, 0.02, 0.06, 0.0)"
0.0,0.02,0.06,0.01,3.7731,4.9023,"q=(0.0, 0.02, 0.06, 0.01)"
0.0,0.02,0.06,0.02,3.722,4.9613,"q=(0.0, 0.02, 0.06, 0.02)"
0.0,0.02,0.06,0.03,3.6716,5.0203,"q=(0.0, 0.02, 0.06, 0.03)"
0.0,0.02,0.06,0.04,3.6217,5.0793,"q=(0.0, 0.02, 0.06, 0.04)"
0.0,0.02,0.06,0.05,3.5725,5.1385,"q=(0.0, 0.02, 0.06, 0.05)"
0.0,0.02,0.06,0.06,3.5239,5.1978,"q=(0.0, 0.02, 0.06, 0.06)"
0.0,0.02,0.06,0.07,3.476,5.2572,"q=(0.0, 0.02, 0.06, 0.07)"
0.0,0.02,0.06,0.08,3.4287,5.3167,"q=(0.0, 0.02, 0.06, 0.08)"
0.0,0.02,0.07,0.0,3.7647,4.9089,"q=(0.0, 0.02, 0.07, 0.0)"
0.0,0.02,0.07,0.01,3.7135,4.9682,"q=(0.0, 0.02, 0.07, 0.01)"
0.0,0.02,0.07,0.02,3.6628,5.0275,"q=(0.0, 0.02, 0.07, 0.02)"
0.0,0.02,0.07,0.03,3.6127,5.0869,"q=(0.0, 0.02, 0.07, 0.03)"
0.0,0.02,0.07,0.04,3.5633,5.1465,"q=(0.0, 0.02, 0.07, 0.04)"
0.0,0.02,0.07,0.05,3.5146,5.2061,"q=(0.0, 0.02, 0.07, 0.05)"
0.0,0.02,0.07,0.06,3.4665,5.2658,"q=(0.0, 0.02, 0.07, 0.06)"
0.0,0.02,0.07,0.07,3.419,5.3257,"q=(0.0, 0.02, 0.07, 0.07)"
0.0,0.02,0.07,0.08,3.3722,5.3858,"q=(0.0, 0.02, 0.07, 0.08)"
0.0,0.02,0.08,0.0,3.7055,4.9745,"q=(0.0, 0.02, 0.08, 0.0)"
0.0,0.02,0.08,0.01,3.6546,5.0342,"q=(0.0, 0.02, 0.08, 0.01)"
0.0,0.02,0.08,0.02,3.6043,5.0939,"q=(0.0, 0.02, 0.08, 0.02)"
0.0,0.02,0.08,0.03,3.5547,5.1538,"q=(0.0, 0.02, 0.08, 0.03)"
0.0,0.02,0.08,0.04,3.5058,5.2138,"q=(0.0, 0.02, 0.08, 0.04)"
0.0,0.02,0.08,0.05,3.4575,5.2739,"q=(0.0, 0.02, 0.08, 0.05)"
0.0,0.02,0.08,0.06,3.4099,5.3341,"q=(0.0, 0.02, 0.08, 0.06)"
0.0,0.02,0.08,0.07,3.3629,5.3945,"q=(0.0, 0.02, 0.08, 0.07)"
0.0,0.02,0.08,0.08,3.3166,5.455,"q=(0.0, 0.02, 0.08, 0.08)"
0.0,0.03,0.0,0.0,4.1456,4.514,"q=(0.0, 0.03, 0.0, 0.0)"
0.0,0.03,0.0,0.01,4.091,4.57,"q=(0.0, 0.03, 0.0, 0.01)"
0.0,0.03,0.0,0.02,4.0371,4.6261,"q=(0.0, 0.03, 0.0, 0.02)"
0.0,0.03,0.0,0.03,3.9839,4.6823,"q=(0.0, 0.03, 0.0, 0.03)"
0.0,0.03,0.0,0.04,3.9315,4.7389,"q=(0.0, 0.03, 0.0, 0.04)"
0.0,0.03,0.0,0.05,3.8799,4.7957,"q=(0.0, 0.03, 0.0, 0.05)"
0.0,0.03,0.0,0.06,3.829,4.8527,"q=(0.0, 0.03, 0.0, 0.06)"
0.0,0.03,0.0,0.07,3.7789,4.9098,"q=(0.0, 0.03, 0.0, 0.07)"
0.0,0.03,0.0,0.08,3.7294,4.9671,"q=(0.0, 0.03, 0.0, 0.08)"
0.0,0.03,0.01,0.0,4.0803,4.578,"q=(0.0, 0.03, 0.01, 0.0)"
0.0,0.03,0.01,0.01,4.0262,4.6344,"q=(0.0, 0.03, 0.01, 0.01)"
0.0,0.03,0.01,0.02,3.9728,4.691,"q=(0.0, 0.03, 0.01, 0.02)"
0.0,0.03,0.01,0.03,3.9203,4.748,"q=(0.0, 0.03, 0.01, 0.03)"
0.0,0.03,0.01,0.04,3.8685,4.8052,"q=(0.0, 0.03, 0.01, 0.04)"
0.0,0.03,0.01,0.05,3.8175,4.8625,"q=(0.0, 0.03, 0.01, 0.05)"
0.0,0.03,0.01,0.06,3.7672,4.9201,"q=(0.0, 0.03, 0.01, 0.06)"
0.0,0.03,0.01,0.07,3.7175,4.9777,"q=(0.0, 0.03, 0.01, 0.07)"
0.0,0.03,0.01,0.08,3.6683,5.0354,"q=(0.0, 0.03, 0.01, 0.08)"
0.0,0.03,0.02,0.0,4.0159,4.6422,"q=(0.0, 0.03, 0.02, 0.0)"
0.0,0.03,0.02,0.01,3.9624,4.6992,"q=(0.0, 0.03, 0.02, 0.01)"
